name,addr_lot,rating_score,rating_num,note,addr_load
오마이메이드카페 오마이왕국점,(지번) 서교동 358-115,4.2,5건,,서울 마포구 어울마당로 92 지하1층
오버트 합정점,(지번) 서교동 373-5,4.3,33건,,서울 마포구 잔다리로 43 1층
오베이글하우스,(지번) 합정동 431-21,4.7,20건,,서울 마포구 월드컵로7길 41
오브오,(지번) 서교동 380-33,5.0,1건,,서울 마포구 양화로7안길 42 1층
오아스페이스,(지번) 서교동 463-28,5.0,2건,,서울 마포구 동교로 144 지하1층
오츠커피 마포점,,,,editorPick,서울 마포구 독막로14길 32 지하 1층 (상수동)
오키도키하우스&카페,(지번) 서교동 478-7,0.0,0건,,서울 마포구 동교로 105 1층
오퍼,(지번) 서교동 355-3,3.7,40건,,서울 마포구 홍익로5길 19
오페라빈 에스프레소바 합정점,(지번) 합정동 372-7,4.9,17건,,서울 마포구 독막로2길 22 1층
온어롤,(지번) 망원동 400-19,4.9,7건,,서울 마포구 포은로 86-1 2층
올더어글리쿠키&트레몽,(지번) 합정동 368-36,,,,서울 마포구 토정로 45 1-2층
올라운드커피,(지번) 서교동 386-6,3.0,3건,,서울 마포구 양화로7길 30 1층
올웨이즈어거스트,(지번) 망원동 415-53,4.5,140건,editorPick,서울 마포구 망원로6길 19
와토커피,,,,editorPick,제주 서귀포시 대정읍 동일하모로 238 (대정읍 상모리)
워시타운,(지번) 서교동 478-3,5.0,8건,,서울 마포구 월드컵로10길 48 1층
월페이퍼,(지번) 서교동 466-7,5.0,5건,,서울 마포구 잔다리로 75 1층 101호
위밋데얼,(지번) 서교동 369-36,3.8,9건,,서울 마포구 양화로16길 30 한나빌딩 3층
유스커피,,,,editorPick,제주 제주시 구산로 54 (아라일동)
유주얼하우스,(지번) 서교동 381-13,4.3,20건,,서울 마포구 양화로7길 48 1층
유포테이블카페&마치아소비 홍대점,(지번) 서교동 344-6,3.5,8건,,서울 마포구 와우산로23길 9 칼리오페 2층 205호
으믐,(지번) 성산동 245-15,4.5,37건,,서울 마포구 성미산로 29 1층
은연,(지번) 서교동 395-83,4.3,9건,,서울 마포구 양화로10길 55 지하1층
은코시커피하우스,(지번) 서교동 383-2,4.8,36건,,서울 마포구 동교로12길 36 1층 101호
이고 수플레 합정본점,(지번) 서교동 394-77,4.0,28건,,서울 마포구 양화로8길 32-17 1층
이디야커피 망리단길점,(지번) 망원동 399-5,4.1,7건,,서울 마포구 포은로 81-1 1층
이디야커피 망원역점,(지번) 서교동 441-11,3.4,17건,,서울 마포구 월드컵로 82-1 1층
이디야커피 합정LIG점,(지번) 합정동 392-3,4.4,5건,,서울 마포구 양화로1길 21 1층
이디야커피 합정동점,(지번) 합정동 410-18,3.5,8건,,서울 마포구 양화로6길 90 1층
이디야커피 합정역사거리점,(지번) 합정동 364-27,3.1,11건,,서울 마포구 독막로2길 5 1층
이디야커피 합정홈플러스점,(지번) 서교동 490,4.0,1건,,서울 마포구 양화로 45 지하2층
이리카페,(지번) 상수동 337-4,4.0,81건,,서울 마포구 와우산로3길 27 1층
이뮤베이크샵,(지번) 서교동 396-61,4.4,9건,,서울 마포구 양화로6길 57-13 기단 2층 202호
이미커피,(지번) 동교동 201-10,4.2,148건,,서울 마포구 동교로25길 7 1층
이스케이퍼스 2호점,(지번) 서교동 408-18,3.1,10건,,서울 마포구 와우산로17길 19-24 지하1층
이이알티 망원점,(지번) 망원동 415-33,3.9,117건,,서울 마포구 포은로 105-1 1층
이호커피,(지번) 망원동 394-118,5.0,9건,,서울 마포구 희우정로10길 28 1층 102호
인텔리젠시아 커피 서촌,,,,editorPick,서울 종로구 자하문로 34 1층 (통의동)
인텔리젠시아커피 디스트리뷰터MH,,,,editorPick,서울 강남구 강남대로146길 33 1층 (논현동)
자유인들,(지번) 서교동 360-27,4.6,25건,,"서울 마포구 와우산로22길 34 1,2층"
재미난조각가,(지번) 서교동 358-124,3.0,33건,,서울 마포구 와우산로21길 24 2층
저스티나,(지번) 합정동 379-4,3.9,73건,,서울 마포구 양화진2길 31 1층
제비다방,(지번) 상수동 330-12,4.5,118건,,"서울 마포구 와우산로 24 지하1층, 1층"
젤리샷케이크,(지번) 서교동 442-20,4.1,10건,,서울 마포구 성미산로2길 49 더하우스예당 1층 101호
조양방직,,,,editorPick,인천 강화군 강화읍 향나무길5번길 12 1층 (강화읍 신문리)
조이커피바,,,,editorPick,경기 하남시 미사대로 410 오벨리스크 상가 2층 214호 (빨래방앞) (망월동)
주디마리 홍대점,(지번) 서교동 369-29,4.2,30건,,서울 마포구 홍익로5안길 63 1층
집사의하루 홍대점,(지번) 서교동 364-2,4.2,140건,,서울 마포구 와우산로21길 19-8 태경빌딩 2층
차차,(지번) 망원동 478-9,4.0,14건,,서울 마포구 월드컵로 133 2층
채그로카페,,,,editorPick,서울 마포구 마포대로4다길 31 (마포동)
채비스테이 홍대점 카페20BOON,(지번) 서교동 378-8,5.0,1건,,서울 마포구 양화로 85 1층
충당,(지번) 합정동 388-10,4.7,10건,,서울 마포구 월드컵로3길 31-8 2층
카메라타,,,,editorPick,경기 파주시 탄현면 헤이리마을길 83 (탄현면 법흥리)
카우프로스터스 서교,(지번) 서교동 451-4,4.3,6건,,서울 마포구 월드컵북로5길 56 1층 102호
카페 사운드웨이브,(지번) 서교동 396-29,4.3,4건,,서울 마포구 독막로3길 24 3층
카페 이유,(지번) 서교동 333-37,4.7,3건,,서울 마포구 와우산로29마길 7-8 지하1층
카페 지금여기,(지번) 서교동 369-42,4.0,19건,,서울 마포구 양화로16길 30-5 3층
카페 코그,(지번) 동교동 201-49,5.0,1건,,서울 마포구 동교로 183-12 1층
카페 클로버,(지번) 서교동 394-12,0.0,0건,,서울 마포구 양화로8길 38 서교동빌딩 2층
카페163,(지번) 합정동 392-12,4.4,21건,,서울 마포구 양화로1길 25-3 2층
카페게이트 망원역점,(지번) 망원동 378-11,2.8,8건,,서울 마포구 월드컵로 67 1층
카페공명 연남점,(지번) 동교동 146-8,4.2,322건,,서울 마포구 연희로 11 한국특허정보원빌딩 1층
카페공명 합정점(서울작업실),(지번) 서교동 468-25,4.8,93건,,서울 마포구 잔다리로 99-2 1층
카페공명 홍대점,(지번) 서교동 409-15,4.5,194건,,"서울 마포구 와우산로17길 11-8 1, 2, 3층"
카페공캠,(지번) 서교동 468-3,3.7,3건,,서울 마포구 잔다리로 111 지하1층
카페그랑주,(지번) 서교동 355-2,2.7,48건,,서울 마포구 홍익로5길 13 동신빌딩 지하1층
카페꼬모,(지번) 서교동 364-20,5.0,6건,,서울 마포구 와우산로21길 31-12 1층
카페꼼마 합정점,(지번) 합정동 441-35,3.9,145건,,"서울 마포구 포은로 49 지하1층,1,2,4,5층"
카페데코믹스 홍대점,(지번) 서교동 358-113,3.9,30건,,서울 마포구 어울마당로 96 3층
카페레터,(지번) 서교동 396-3,3.9,14건,,서울 마포구 독막로3길 28-20 1층
카페모모이,(지번) 상수동 312-3,5.0,4건,,서울 마포구 와우산로13길 35 2층 202호
카페몬데이,(지번) 상수동 311-5,5.0,2건,,서울 마포구 독막로15길 13-4 B-세바빌딩 1층
